Binaerbaeume,1.0,3.76,3.55,3.85,10.47,6.44,19.74
Chameneos,1.0,1.03,1.02,1.01,3.73,3.53,3.69
Fannkuch,1.0,6.88,7.10,6.86,17.45,15.24,173.76
Fasta,1.0,3.38,3.50,3.69,4.48,4.49,3.10
Fasta ohne eval,1.0,2.75,2.86,2.80,1.94,1.66,3.30
Mandelbrot,1.0,4.20,4.27,4.16,8.57,7.29,327.51
Meteor,1.0,4.08,3.74,3.84,4.91,2.84,8.76
N-Koerper,1.0,5.19,5.12,5.53,7.78,5.70,56.03
Reverse Complement,1.0,1.07,1.09,1.11,2.00,1.89,0.13
Regex-DNA,1.0,2.04,2.55,2.54,2.56,1.87,1.25
