Interpreter,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
vs. mri-1.8.7 (Base),better,better,better,better,better,better
p-value,0.0,0.0,0.0,0.0,0.0,0.0
Runtime median,12.948837,12.734848,13.059273,6.345446,7.46091,0.166039
Runtime median (Base),54.379997,54.379997,54.379997,54.379997,54.379997,54.379997
Runtime median (difference),4.199605,4.270172,4.164091,8.569925,7.288655,327.513397
Runtime mean,12.949484,12.747305,13.075836,6.351686,7.502102,0.167721
Runtime mean (Base),54.362557,54.362557,54.362557,54.362557,54.362557,54.362557
Runtime mean (difference),4.198048,4.264631,4.157482,8.55876,7.24631,324.124928
