Trial,mri-1.8.7
1,5.1538e-05
2,115.672944272
3,229.855199755
4,344.013047498
5,457.466091671
6,570.779692848
7,684.566803156
8,797.969989862
9,911.524035297
10,1024.923547309
11,1138.279704771
