Trial,mri-2.3.3
1,56.42578125
2,56.42578125
3,56.42578125
4,56.42578125
5,56.7421875
6,56.7421875
7,56.7421875
8,57.0
9,57.0
10,57.0
11,57.2578125
12,57.2578125
13,57.2578125
14,57.515625
15,57.515625
16,57.7734375
17,57.7734375
18,57.7734375
19,58.03125
20,58.03125
21,58.03125
22,58.2890625
23,58.2890625
24,58.546875
25,58.546875
26,58.546875
27,58.8046875
28,58.8046875
29,58.8046875
30,59.0625
31,59.0625
32,59.3203125
33,59.3203125
34,59.3203125
35,59.578125
36,59.578125
37,59.578125
38,59.8359375
39,59.8359375
40,60.09375
41,60.09375
42,60.09375
43,60.3515625
44,60.3515625
45,60.3515625
46,60.609375
47,60.609375
48,60.8671875
49,60.8671875
50,60.8671875
51,61.125
52,61.125
53,61.125
54,61.3828125
55,61.3828125
56,61.640625
57,61.640625
58,61.640625
59,61.8984375
60,61.8984375
61,61.8984375
62,62.15625
63,62.15625
64,62.15625
65,62.4140625
66,62.4140625
67,62.671875
68,62.671875
69,62.671875
70,62.9296875
71,62.9296875
72,62.9296875
73,63.1875
74,63.1875
75,63.4453125
76,63.4453125
77,63.4453125
78,63.703125
79,63.703125
80,63.703125
81,63.9609375
82,63.9609375
83,63.9609375
84,64.21875
85,64.21875
86,64.4765625
87,64.4765625
88,64.4765625
89,64.734375
90,64.734375
91,64.734375
92,64.9921875
93,64.9921875
94,65.25
95,65.25
96,65.25
97,65.5078125
98,65.5078125
99,65.5078125
100,65.765625
101,65.765625
102,66.0234375
103,66.0234375
104,66.0234375
105,66.28125
106,66.28125
107,66.28125
108,66.5390625
109,66.5390625
110,66.796875
111,66.796875
112,66.796875
113,67.0546875
114,67.0546875
115,67.0546875
116,67.3125
117,67.3125
118,67.5703125
119,67.5703125
120,67.5703125
121,67.828125
122,67.828125
123,67.828125
124,68.0859375
125,68.0859375
126,68.34375
127,68.34375
128,68.34375
129,68.6015625
130,68.6015625
131,68.6015625
132,68.859375
133,68.859375
134,69.1171875
135,69.1171875
136,69.1171875
137,69.375
138,69.375
139,69.375
140,69.6328125
141,69.6328125
142,69.890625
143,69.890625
144,69.890625
145,70.1484375
146,70.1484375
147,70.1484375
148,70.40625
149,70.40625
150,70.40625
