Trial,mri-2.3.3
1,6.2438e-05
2,0.05305366
3,0.084763191
4,0.118188938
5,0.152201012
6,0.189532046
7,0.224479974
8,0.256029718
9,0.290947599
10,0.325994016
11,0.361201342
12,0.396041935
13,0.428545705
14,0.46303495
15,0.497309837
16,0.532506664
17,0.566348234
18,0.601345017
19,0.635309849
20,0.669769395
21,0.703761242
22,0.738321237
23,0.772668455
24,0.806090336
25,0.840725301
26,0.874153989
27,0.909316368
28,0.941081571
29,0.975793694
30,1.010996599
31,1.045872575
32,1.0806511
33,1.115172072
34,1.149894682
35,1.184214677
36,1.216405747
37,1.251162174
38,1.285750333
39,1.327919929
40,1.362640533
41,1.396604948
42,1.428964689
43,1.463661511
44,1.49866327
45,1.533777706
46,1.568422503
47,1.603760514
48,1.637713221
49,1.671649052
50,1.706142947
51,1.740999254
52,1.774997887
53,1.809757027
54,1.843836615
55,1.875307232
56,1.909947149
57,1.944519546
58,1.977202965
59,2.012142344
60,2.045888341
61,2.080384952
62,2.112409199
63,2.146186554
64,2.180915273
65,2.215434946
66,2.250594715
67,2.285463634
68,2.320614854
69,2.353387891
70,2.388545861
71,2.421108476
72,2.456539743
73,2.492443482
74,2.525519743
75,2.560290593
76,2.593207815
77,2.627627108
78,2.662239928
79,2.69781191
80,2.73295435
81,2.7678387
82,2.801835318
83,2.835993519
84,2.87059519
85,2.904579261
86,2.939261437
87,2.974158788
88,3.008416126
89,3.042199996
90,3.07676936
91,3.111726009
92,3.146572149
93,3.181376839
94,3.216457325
95,3.250639392
96,3.285029204
97,3.320042404
98,3.354713061
99,3.389781938
100,3.425282202
101,3.460410247
102,3.495359922
103,3.529558835
104,3.564224729
105,3.596575412
106,3.631261991
107,3.663663971
108,3.698976129
109,3.733616701
110,3.768443677
111,3.803287468
112,3.837042908
113,3.871624757
114,3.906574162
115,3.938320073
116,3.973079623
117,4.005684345
118,4.03989798
119,4.074290749
120,4.108869489
121,4.143707146
122,4.179136119
123,4.213849067
124,4.247694398
125,4.282540876
126,4.317047714
127,4.351388003
128,4.385621729
129,4.420219306
130,4.454973433
131,4.488086202
132,4.522159276
133,4.5564029
134,4.588876001
135,4.623400626
136,4.657221972
137,4.692137498
138,4.728313324
139,4.764097151
140,4.798521284
141,4.833200891
142,4.868426486
143,4.903980528
144,4.9386726
145,4.973167862
146,5.007799945
147,5.042550422
148,5.077356249
149,5.111551509
150,5.146233897
