Trial,mri-2.3.3
1,15.443701666644507
2,15.443701666644507
3,15.443701666644507
4,15.443701666644507
5,15.443701666644507
6,15.443701666644507
7,15.443701666644507
8,15.443701666644507
9,15.443701666644507
10,15.443701666644507
11,15.443701666644507
12,15.443701666644507
13,15.443701666644507
14,15.443701666644507
15,15.443701666644507
16,15.443701666644507
17,15.443701666644507
18,15.443701666644507
19,15.443701666644507
20,15.443701666644507
21,15.443701666644507
22,15.443701666644507
23,15.443701666644507
24,15.443701666644507
25,15.443701666644507
26,15.443701666644507
27,15.443701666644507
28,15.443701666644507
29,15.443701666644507
30,15.443701666644507
31,15.443701666644507
32,15.443701666644507
33,15.443701666644507
34,15.443701666644507
35,15.443701666644507
36,15.443701666644507
37,15.443701666644507
38,15.443701666644507
39,15.443701666644507
40,15.443701666644507
41,15.443701666644507
42,15.443701666644507
43,15.443701666644507
44,15.443701666644507
45,15.443701666644507
46,15.443701666644507
47,15.443701666644507
48,15.443701666644507
49,15.443701666644507
50,15.443701666644507
51,15.443701666644507
52,15.443701666644507
53,15.443701666644507
54,15.443701666644507
55,15.443701666644507
56,15.443701666644507
57,15.443701666644507
58,15.443701666644507
59,15.443701666644507
60,15.443701666644507
61,15.443701666644507
62,15.443701666644507
63,15.443701666644507
64,15.443701666644507
65,15.443701666644507
66,15.443701666644507
67,15.443701666644507
68,15.443701666644507
69,15.443701666644507
70,15.443701666644507
71,15.443701666644507
72,15.443701666644507
73,15.443701666644507
74,15.443701666644507
75,15.443701666644507
76,15.443701666644507
77,15.443701666644507
78,15.443701666644507
79,15.443701666644507
80,15.443701666644507
81,15.443701666644507
82,15.443701666644507
83,15.443701666644507
84,15.443701666644507
85,15.443701666644507
86,15.443701666644507
87,15.443701666644507
88,15.443701666644507
89,15.443701666644507
90,15.443701666644507
91,15.443701666644507
92,15.443701666644507
93,15.443701666644507
94,15.443701666644507
95,15.443701666644507
96,15.443701666644507
97,15.443701666644507
98,15.443701666644507
99,15.443701666644507
100,15.443701666644507
101,15.443701666644507
102,15.443701666644507
103,15.443701666644507
